City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,thunder bay,48.4001,-89.3168,-9.01,73,100,3.6,CA,"01/24/23,19:48:14"
184,cururupu,-1.8283,-44.8683,26.39,81,50,2.18,BR,"01/24/23,19:50:41"
185,vestmanna,62.1564,-7.1664,8.51,93,100,7.72,FO,"01/24/23,19:50:42"
186,iskateley,67.6803,53.1512,-7.72,93,100,6.9,RU,"01/24/23,19:50:42"
187,beihai,21.4833,109.1,10.91,58,16,4.35,CN,"01/24/23,19:50:43"
188,cherskiy,68.75,161.3,-31.32,97,100,0.71,RU,"01/24/23,19:50:43"
189,mayumba,-3.432,10.6554,25.68,81,31,0.89,GA,"01/24/23,19:50:44"
190,andenes,69.3143,16.1194,2.18,75,100,5.66,NO,"01/24/23,19:50:44"
191,takoradi,4.8845,-1.7554,27.17,80,10,3.29,GH,"01/24/23,19:50:44"
192,huanren,41.2647,125.3667,-22.71,84,1,1.2,CN,"01/24/23,19:50:45"
193,katobu,-4.9408,122.5276,23.75,92,100,0.56,ID,"01/24/23,19:50:45"
194,nelson bay,-32.7167,152.15,21.17,97,36,3.58,AU,"01/24/23,19:50:46"
195,hofn,64.2539,-15.2082,4.18,72,100,2.96,IS,"01/24/23,19:50:46"
196,waipawa,-41.4122,175.5153,15.03,74,3,3.36,NZ,"01/24/23,19:50:46"
197,paonta sahib,30.45,77.6167,13.81,82,94,3.2,IN,"01/24/23,19:50:47"
198,fort myers beach,26.452,-81.9481,27.01,66,100,4.12,US,"01/24/23,19:50:47"
199,sorong,-0.8833,131.25,25.94,83,71,2.14,ID,"01/24/23,19:50:48"
200,bayanday,53.0661,105.5139,-25.06,99,99,0.97,RU,"01/24/23,19:50:48"
201,hailin,44.5833,129.4167,-27.73,86,39,1.67,CN,"01/24/23,19:50:49"
202,fare,-16.7,-151.0167,27.44,72,100,6.94,PF,"01/24/23,19:50:49"
203,clearwater,27.9659,-82.8001,25.06,61,0,6.69,US,"01/24/23,19:48:40"
204,banjar,-8.19,114.9675,24.71,89,100,1.57,ID,"01/24/23,19:50:50"
205,zachary,30.6485,-91.1565,14.29,82,100,8.23,US,"01/24/23,19:50:50"
206,aksarka,66.5606,67.7975,-14.33,87,80,5.51,RU,"01/24/23,19:50:50"
207,elat,29.5581,34.9482,16.91,59,0,4.12,IL,"01/24/23,19:50:51"
208,kirkwood,38.5834,-90.4068,7.1,63,100,2.57,US,"01/24/23,19:50:51"
209,berlevag,70.8578,29.0864,1.97,69,40,14.92,NO,"01/24/23,19:50:52"
210,pisco,-13.7,-76.2167,25.03,65,0,2.57,PE,"01/24/23,19:50:52"
211,mount gambier,-37.8333,140.7667,10.19,96,9,1.21,AU,"01/24/23,19:47:15"
212,ilulissat,69.2167,-51.1,-10.25,95,100,4.81,GL,"01/24/23,19:50:53"
213,verkhoshizhemye,58.011,49.1038,-11.89,98,100,3.67,RU,"01/24/23,19:50:53"
214,namatanai,-3.6667,152.4333,25.89,80,100,2.8,PG,"01/24/23,19:44:40"
215,komsomolskiy,40.4272,71.7189,-5.6,86,100,2.06,UZ,"01/24/23,19:50:54"
216,biak,-0.9131,122.8766,24.7,82,100,0.83,ID,"01/24/23,19:50:54"
217,carutapera,-1.195,-46.02,24.7,93,100,3.5,BR,"01/24/23,19:50:54"
218,leh,34.1667,77.5833,-10.44,79,100,1.41,IN,"01/24/23,19:50:55"
219,bandarbeyla,9.4942,50.8122,24.09,69,34,6.92,SO,"01/24/23,19:50:55"
220,kagadi,0.9606,30.7967,19.46,60,89,0.98,UG,"01/24/23,19:50:56"
221,padang,-0.9492,100.3543,23.99,76,100,1.88,ID,"01/24/23,19:50:56"
222,cessnock,-32.8333,151.35,20.63,96,9,1.11,AU,"01/24/23,19:46:36"
223,pingzhuang,42.0372,119.2889,-22.88,83,17,1.56,CN,"01/24/23,19:50:57"
224,srednekolymsk,67.45,153.6833,-31.48,95,100,0.55,RU,"01/24/23,19:50:57"
225,dunedin,-45.8742,170.5036,15.45,87,46,0.45,NZ,"01/24/23,19:50:57"
226,ixtapa,20.7,-105.2,25.68,68,1,2.24,MX,"01/24/23,19:50:58"
227,nemuro,43.3236,145.575,-10.21,74,100,13.85,JP,"01/24/23,19:50:58"
228,katsuura,35.1333,140.3,-1.0,47,21,11.89,JP,"01/24/23,19:50:59"
229,sao jose da coroa grande,-8.8978,-35.1478,27.16,69,9,4.71,BR,"01/24/23,19:50:59"
230,simdega,22.6167,84.5167,16.59,32,5,1.69,IN,"01/24/23,19:51:00"
231,lebu,-37.6167,-73.65,16.68,64,5,6.85,CL,"01/24/23,19:51:00"
232,tuktoyaktuk,69.4541,-133.0374,-22.0,84,100,6.17,CA,"01/24/23,19:51:01"
233,rosetta,31.4044,30.4164,15.8,70,0,5.65,EG,"01/24/23,19:51:01"
234,haines junction,60.7522,-137.5108,-3.25,94,98,2.41,CA,"01/24/23,19:51:02"
235,los llanos de aridane,28.6585,-17.9182,16.86,75,75,5.14,ES,"01/24/23,19:51:02"
236,saint-philippe,-21.3585,55.7679,23.77,89,100,4.98,RE,"01/24/23,19:51:03"
237,cap malheureux,-19.9842,57.6142,23.59,85,100,1.79,MU,"01/24/23,19:51:03"
238,sarankhola,22.3082,89.7897,18.96,65,5,0.77,BD,"01/24/23,19:51:04"
239,necochea,-38.5473,-58.7368,19.83,92,76,9.48,AR,"01/24/23,19:51:04"
240,aklavik,68.2191,-135.0107,-22.0,84,100,2.06,CA,"01/24/23,19:51:05"
241,sao borja,-28.6606,-56.0044,39.97,13,0,1.61,BR,"01/24/23,19:51:05"
242,lagoa,39.05,-27.9833,15.17,81,21,9.35,PT,"01/24/23,19:51:06"
243,wana,32.2989,69.5725,1.5,42,0,2.25,PK,"01/24/23,19:51:06"
244,mehamn,71.0357,27.8492,1.95,68,57,13.96,NO,"01/24/23,19:51:07"
245,zinder,13.8072,8.9881,24.39,12,2,3.92,NE,"01/24/23,19:51:07"
246,constitucion,-35.3333,-72.4167,19.89,62,4,8.77,CL,"01/24/23,19:51:08"
247,tabou,4.423,-7.3528,26.11,84,55,2.22,CI,"01/24/23,19:51:09"
248,bjorkelangen,59.8848,11.5694,4.11,99,100,2.47,NO,"01/24/23,19:51:09"
249,sioux lookout,50.1001,-91.917,-10.96,79,100,2.57,CA,"01/24/23,19:51:10"
250,acapulco,16.8634,-99.8901,29.43,48,0,4.14,MX,"01/24/23,19:48:05"
251,mbanza-ngungu,-5.25,14.8667,20.73,94,100,1.83,CD,"01/24/23,19:51:10"
252,veraval,20.9,70.3667,16.45,52,1,5.79,IN,"01/24/23,19:51:11"
253,fomboni,-12.28,43.7425,28.41,75,100,7.05,KM,"01/24/23,19:51:12"
254,bogorodskoye,56.55,37.8833,-2.82,93,100,3.87,RU,"01/24/23,19:51:12"
255,nouadhibou,20.931,-17.0347,21.99,56,3,4.12,MR,"01/24/23,19:51:12"
256,port lincoln,-34.7333,135.8667,14.92,86,0,1.64,AU,"01/24/23,19:51:13"
257,saldanha,-33.0117,17.9442,16.03,64,74,7.51,ZA,"01/24/23,19:51:13"
